TransactionID,CustomerID,SalesAmount,PurchaseDate,EmployeeID
T00001,C0001,"$2,824",01-11-2022,1
T00002,C0002,"$1,409",19-11-2023,2
T00003,C0003,"$5,506",09-10-2023,3
T00004,C0004,"$5,012",04-02-2022,3
T00005,C0005,"$4,657",28-10-2024,7
T00006,C0006,"$3,286",06-03-2021,10
T00007,C0007,"$2,679",26-09-2022,2
T00008,C0008,"$9,935",09-03-2020,7
T00009,C0009,"$2,424",03-04-2023,7
T00010,C0010,"$7,912",18-02-2023,10
T00011,C0011,"$1,520",06-12-2022,8
T00012,C0012,"$1,488",15-10-2023,9
T00013,C0013,"$2,535",10-03-2021,5
T00014,C0014,"$4,582",16-12-2020,9
T00015,C0015,"$4,811",26-10-2022,1
T00016,C0016,"$9,279",10-04-2020,2
T00017,C0017,"$1,434",29-11-2020,9
T00018,C0018,"$4,257",25-07-2022,5
T00019,C0019,"$9,928",15-01-2024,6
T00020,C0020,"$7,873",26-05-2020,2
T00021,C0021,"$4,611",24-09-2024,5
T00022,C0022,"$8,359",04-04-2020,7
T00023,C0023,"$5,557",03-06-2021,3
T00024,C0024,"$1,106",26-06-2022,8
T00025,C0025,"$3,615",07-09-2024,1
T00026,C0026,"$7,924",16-01-2024,5
T00027,C0027,"$6,574",10-06-2024,9
T00028,C0028,"$5,552",04-03-2024,3
T00029,C0029,"$3,547",08-09-2024,9
T00030,C0030,"$4,527",06-11-2022,2
T00031,C0031,"$6,514",05-06-2020,5
T00032,C0032,"$2,674",25-03-2022,9
T00033,C0033,"$2,519",28-03-2024,10
T00034,C0034,"$7,224",06-12-2020,4
T00035,C0035,"$2,584",17-03-2020,3
T00036,C0036,"$6,881",29-07-2023,6
T00037,C0037,"$6,635",23-10-2020,3
T00038,C0038,"$5,333",18-09-2020,9
T00039,C0039,"$1,711",30-07-2020,9
T00040,C0040,"$8,527",23-01-2025,1
T00041,C0041,"$9,785",20-03-2024,10
T00042,C0042,"$3,045",28-10-2021,6
T00043,C0043,"$7,201",05-12-2022,8
T00044,C0044,"$2,291",30-12-2020,1
T00045,C0045,"$5,803",14-08-2020,2
T00046,C0046,"$6,925",02-05-2023,6
T00047,C0047,"$4,150",12-08-2021,5
T00048,C0048,"$2,139",05-01-2020,4
T00049,C0049,"$1,750",11-06-2024,1
T00050,C0050,"$4,733",28-02-2024,4
T00051,C0051,"$5,741",26-01-2020,10
T00052,C0052,"$2,307",22-06-2020,2
T00053,C0053,"$4,814",14-02-2021,2
T00054,C0054,"$2,654",18-09-2024,8
T00055,C0055,"$7,227",05-03-2023,2
T00056,C0056,"$5,554",17-10-2024,9
T00057,C0057,"$8,428",11-05-2024,3
T00058,C0058,"$6,977",27-02-2023,3
T00059,C0059,"$3,664",02-09-2021,8
T00060,C0060,"$7,065",06-05-2020,9
T00061,C0061,"$6,820",24-10-2023,3
T00062,C0062,"$4,432",29-03-2023,5
T00063,C0063,"$5,374",09-07-2021,9
T00064,C0064,"$2,169",24-01-2021,10
T00065,C0065,"$3,803",14-04-2020,7
T00066,C0066,"$9,751",24-07-2020,4
T00067,C0067,"$5,010",07-05-2024,9
T00068,C0068,"$3,677",16-01-2020,4
T00069,C0069,"$8,573",21-01-2025,5
T00070,C0070,"$7,216",26-03-2022,7
T00071,C0071,"$5,422",27-06-2020,6
T00072,C0072,"$4,598",11-11-2024,8
T00073,C0073,"$6,313",06-11-2022,9
T00074,C0074,"$1,916",26-12-2023,8
T00075,C0075,"$4,752",04-03-2022,2
T00076,C0076,"$1,525",04-03-2020,4
T00077,C0077,"$6,168",02-03-2020,4
T00078,C0078,"$7,572",02-11-2021,2
T00079,C0079,"$5,386",28-10-2020,6
T00080,C0080,"$2,084",01-08-2023,1
T00081,C0081,"$4,456",11-07-2021,10
T00082,C0082,"$6,155",23-03-2023,9
T00083,C0083,"$4,483",03-06-2023,4
T00084,C0084,"$9,179",04-07-2020,10
T00085,C0085,"$7,482",23-07-2021,4
T00086,C0086,"$8,517",31-08-2023,1
T00087,C0087,"$3,340",04-08-2023,2
T00088,C0088,"$5,339",23-09-2023,1
T00089,C0089,"$3,287",26-07-2022,4
T00090,C0090,"$5,040",12-06-2023,2
T00091,C0091,"$9,830",07-02-2021,1
T00092,C0092,"$5,304",29-07-2021,6
T00093,C0093,"$8,019",10-05-2024,2
T00094,C0094,"$7,543",15-04-2022,9
T00095,C0095,"$6,930",18-10-2023,4
T00096,C0096,"$4,593",13-08-2022,5
T00097,C0097,"$3,266",18-09-2023,8
T00098,C0098,"$9,348",22-05-2022,4
T00099,C0099,"$9,085",16-11-2022,9
T00100,C0100,"$2,489",22-06-2024,3
